dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
pune,pm10_eps2.0,uniform,2.0,8,6,,2,2,0.0,482.7376159226701,0.4827376159226701,0.7514968300490069,1.0,8.0,1748
pune,pm10_eps2.0,uniform,2.0,8,6,8.0,2,2,0.0,496.19195609096334,0.49619195609096334,0.7686526095814894,1.0,8.0,1748
pune,pm10_eps2.0,uniform,2.0,8,6,16.0,2,2,0.0,482.7376159226701,0.4827376159226701,0.7514968300490069,1.0,8.0,1748
pune,pm10_eps2.0,uniform,2.0,8,1,,2,4,0.0,499.664890875062,0.499664890875062,0.6745672329273842,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,1,4.0,2,4,0.0,965.0961124845728,0.9650961124845728,0.8716657500153968,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,1,8.0,2,4,0.0,513.093653418342,0.513093653418342,0.8997604464396272,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,1,16.0,2,4,0.0,499.664890875062,0.499664890875062,0.6745672329273842,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,2,,2,4,0.0,499.664890875062,0.499664890875062,0.6745672329273842,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,2,4.0,2,4,0.0,965.0961124845728,0.9650961124845728,0.8716657500153968,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,2,8.0,2,4,0.0,513.093653418342,0.513093653418342,0.8997604464396272,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,2,16.0,2,4,0.0,499.664890875062,0.499664890875062,0.6745672329273842,1.0,7.912457912457913,1782
pune,pm10_eps2.0,uniform,2.0,8,3,,2,4,0.0,498.5522155580489,0.4985522155580489,0.6756644042294034,1.0,7.919101123595506,1780
pune,pm10_eps2.0,uniform,2.0,8,3,4.0,2,4,0.0,964.7823848386588,0.9647823848386587,0.869182929256289,1.0,7.919101123595506,1780
pune,pm10_eps2.0,uniform,2.0,8,3,8.0,2,4,0.0,512.0574969446499,0.5120574969446499,0.8958602356287552,1.0,7.919101123595506,1780
pune,pm10_eps2.0,uniform,2.0,8,3,16.0,2,4,0.0,498.5522155580489,0.4985522155580489,0.6756644042294034,1.0,7.919101123595506,1780
pune,pm10_eps2.0,uniform,2.0,8,4,,2,4,0.0,483.1824749452841,0.4831824749452841,0.908085073817182,1.0,7.992018244013683,1754
pune,pm10_eps2.0,uniform,2.0,8,4,4.0,2,4,0.0,953.0124573609563,0.9530124573609563,0.8997702756561802,1.0,7.992018244013683,1754
pune,pm10_eps2.0,uniform,2.0,8,4,8.0,2,4,0.0,496.49120209718035,0.49649120209718034,0.9237885322890592,1.0,7.992018244013683,1754
pune,pm10_eps2.0,uniform,2.0,8,4,16.0,2,4,0.0,483.1824749452841,0.4831824749452841,0.908085073817182,1.0,7.992018244013683,1754
pune,pm10_eps2.0,uniform,2.0,8,6,,2,4,0.0,480.96017573946295,0.480960175739463,0.9104994426862955,1.0,8.014343086632243,1743
pune,pm10_eps2.0,uniform,2.0,8,6,8.0,2,4,0.0,494.29780539574153,0.49429780539574153,0.9263253987600668,1.0,8.014343086632243,1743
pune,pm10_eps2.0,uniform,2.0,8,6,16.0,2,4,0.0,480.96017573946295,0.480960175739463,0.9104994426862955,1.0,8.014343086632243,1743
pune,pm10_eps2.0,uniform,2.0,8,1,,4,0,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,1,4.0,4,0,0.0,952.6752000448363,0.9526752000448363,0.8351031016961523,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,1,8.0,4,0,0.0,497.7389363801698,0.49773893638016975,0.7450736121277535,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,1,16.0,4,0,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,,4,0,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,4.0,4,0,0.0,952.6752000448363,0.9526752000448363,0.8351031016961523,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,8.0,4,0,0.0,497.7389363801698,0.49773893638016975,0.7450736121277535,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,16.0,4,0,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,3,,4,0,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,3,4.0,4,0,0.0,952.6752000448363,0.9526752000448363,0.8351031016961523,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,3,8.0,4,0,0.0,497.7389363801698,0.49773893638016975,0.7450736121277535,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,3,16.0,4,0,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,4,,4,0,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,4,4.0,4,0,0.0,952.6752000448363,0.9526752000448363,0.8351031016961523,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,4,8.0,4,0,0.0,497.7389363801698,0.49773893638016975,0.7450736121277535,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,4,16.0,4,0,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,6,,4,0,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,6,8.0,4,0,0.0,497.7389363801698,0.49773893638016975,0.7450736121277535,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,6,16.0,4,0,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,1,,4,2,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,1,4.0,4,2,0.0,952.6752000448363,0.9526752000448363,0.8351031016961523,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,1,8.0,4,2,0.0,497.7389363801698,0.49773893638016975,0.7450736121277535,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,1,16.0,4,2,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,,4,2,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,4.0,4,2,0.0,952.6752000448363,0.9526752000448363,0.8351031016961523,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,8.0,4,2,0.0,497.7389363801698,0.49773893638016975,0.7450736121277535,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,16.0,4,2,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,3,,4,2,0.0,483.0454097663935,0.4830454097663935,0.7443155325429222,1.0,7.995505617977528,890
pune,pm10_eps2.0,uniform,2.0,8,3,4.0,4,2,0.0,953.2406226790043,0.9532406226790043,0.833962207556639,1.0,7.995505617977528,890
pune,pm10_eps2.0,uniform,2.0,8,3,8.0,4,2,0.0,498.39366351145566,0.49839366351145564,0.7510802926715591,1.0,7.995505617977528,890
pune,pm10_eps2.0,uniform,2.0,8,3,16.0,4,2,0.0,483.0454097663935,0.4830454097663935,0.7443155325429222,1.0,7.995505617977528,890
pune,pm10_eps2.0,uniform,2.0,8,4,,4,2,0.0,479.0475735567076,0.47904757355670763,0.41292106066589535,1.0,8.046538024971623,881
pune,pm10_eps2.0,uniform,2.0,8,4,4.0,4,2,0.0,953.071831303184,0.953071831303184,0.8314495590077976,1.0,8.046538024971623,881
pune,pm10_eps2.0,uniform,2.0,8,4,8.0,4,2,0.0,494.7691036042773,0.4947691036042773,0.42332543819867563,1.0,8.046538024971623,881
pune,pm10_eps2.0,uniform,2.0,8,4,16.0,4,2,0.0,479.0475735567076,0.47904757355670763,0.41292106066589535,1.0,8.046538024971623,881
pune,pm10_eps2.0,uniform,2.0,8,6,,4,2,0.0,477.4518967601996,0.4774518967601996,0.8320529812953101,1.0,8.060433295324971,877
pune,pm10_eps2.0,uniform,2.0,8,6,8.0,4,2,0.0,493.4162446748341,0.4934162446748341,0.8503478684785496,1.0,8.060433295324971,877
pune,pm10_eps2.0,uniform,2.0,8,6,16.0,4,2,0.0,477.4518967601996,0.4774518967601996,0.8320529812953101,1.0,8.060433295324971,877
pune,pm10_eps2.0,uniform,2.0,8,1,,4,4,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,1,4.0,4,4,0.0,952.6752000448363,0.9526752000448363,0.8351031016961523,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,1,8.0,4,4,0.0,497.7389363801698,0.49773893638016975,0.7450736121277535,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,1,16.0,4,4,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,,4,4,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,4.0,4,4,0.0,952.6752000448363,0.9526752000448363,0.8351031016961523,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,8.0,4,4,0.0,497.7389363801698,0.49773893638016975,0.7450736121277535,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,2,16.0,4,4,0.0,482.4225632508614,0.4824225632508614,0.7383435119420824,1.0,7.988776655443322,891
pune,pm10_eps2.0,uniform,2.0,8,3,,4,4,0.0,483.0454097663935,0.4830454097663935,0.7443155325429222,1.0,7.995505617977528,890
pune,pm10_eps2.0,uniform,2.0,8,3,4.0,4,4,0.0,953.2406226790043,0.9532406226790043,0.833962207556639,1.0,7.995505617977528,890
pune,pm10_eps2.0,uniform,2.0,8,3,8.0,4,4,0.0,498.39366351145566,0.49839366351145564,0.7510802926715591,1.0,7.995505617977528,890
pune,pm10_eps2.0,uniform,2.0,8,3,16.0,4,4,0.0,483.0454097663935,0.4830454097663935,0.7443155325429222,1.0,7.995505617977528,890
pune,pm10_eps2.0,uniform,2.0,8,4,,4,4,0.0,474.6217203488409,0.47462172034884087,0.8467870372247631,1.0,8.06378132118451,878
pune,pm10_eps2.0,uniform,2.0,8,4,4.0,4,4,0.0,952.6701073603145,0.9526701073603145,0.8307966421897337,1.0,8.06378132118451,878
pune,pm10_eps2.0,uniform,2.0,8,4,8.0,4,4,0.0,490.42375403643337,0.49042375403643335,0.8624762558555066,1.0,8.06378132118451,878
pune,pm10_eps2.0,uniform,2.0,8,4,16.0,4,4,0.0,474.6217203488409,0.47462172034884087,0.8467870372247631,1.0,8.06378132118451,878
pune,pm10_eps2.0,uniform,2.0,8,6,,4,4,0.0,474.1964247039186,0.4741964247039186,0.8245741558869297,1.0,8.074285714285715,875
pune,pm10_eps2.0,uniform,2.0,8,6,8.0,4,4,0.0,490.1324203479862,0.4901324203479862,0.8453549880609869,1.0,8.074285714285715,875
pune,pm10_eps2.0,uniform,2.0,8,6,16.0,4,4,0.0,474.1964247039186,0.4741964247039186,0.8245741558869297,1.0,8.074285714285715,875
pune,pm10_eps2.0,sample,2.0,8,1,,1,0,0.0,66.76562864303895,0.06676562864303895,0.46616658960252744,0.1251754139769857,7.840303115352231,3563
pune,pm10_eps2.0,sample,2.0,8,1,4.0,1,0,0.0,125.49630424668509,0.1254963042466851,0.7784141066513335,0.1251754139769857,7.840303115352231,3563
pune,pm10_eps2.0,sample,2.0,8,1,8.0,1,0,0.0,68.32277183820845,0.06832277183820845,0.4698639606221624,0.1251754139769857,7.840303115352231,3563
pune,pm10_eps2.0,sample,2.0,8,1,16.0,1,0,0.0,66.76562864303895,0.06676562864303895,0.46616658960252744,0.1251754139769857,7.840303115352231,3563
pune,pm10_eps2.0,sample,2.0,8,2,,1,0,0.0,66.76562864303895,0.06676562864303895,0.46616658960252744,0.1251754139769857,7.840303115352231,3563
pune,pm10_eps2.0,sample,2.0,8,2,4.0,1,0,0.0,125.49630424668509,0.1254963042466851,0.7784141066513335,0.1251754139769857,7.840303115352231,3563
pune,pm10_eps2.0,sample,2.0,8,2,8.0,1,0,0.0,68.32277183820845,0.06832277183820845,0.4698639606221624,0.1251754139769857,7.840303115352231,3563
