sensor,S,epsilon,w,strategy,mae,rmse,relative_error,noise_scale_theoretical,normalized_mae,kl_divergence,kl_global_utility
temperature,2,1.0,10,budget_absorption,730.2727347894272,756.8537638357029,9.097872146279421,525.0,6.954978426565973,4.509898204275197,3.3262784594298425
temperature,2,1.0,12,uniform,572.6391114772292,838.2579314041336,7.134043452520674,630.0,5.453705823592659,0.8683849122711069,0.715015668076828
temperature,2,1.0,12,sample,27.71739196266945,40.847802400634706,0.33324585322285843,630.0,0.26397516154923284,1.1369162062841243,1.8642628371026553
temperature,2,1.0,12,budget_absorption,219.52177329532068,274.25565515896375,2.734842657574019,630.0,2.0906835551935306,0.5862084832893247,3.3177953941197447
temperature,2,2.0,4,uniform,101.60908368599166,153.18206610873438,1.2658646670443132,105.0,0.9677055589142063,0.7482570861022606,0.5430213291896223
temperature,2,2.0,4,sample,29.71230300560435,42.728656496648995,0.3656495293740063,105.0,0.28297431433908904,0.7569547618072554,1.2865342156509316
temperature,2,2.0,4,budget_absorption,80.80035065146552,86.5038805631917,1.0066256407800114,105.0,0.7695271490615764,4.071202575921713,3.2464096436745704
temperature,2,2.0,8,uniform,201.39718080297695,281.98810435550365,2.509043148235489,210.0,1.9180683885997805,0.8181625108767484,0.6906790729489397
temperature,2,2.0,8,sample,10.00038197079515,14.934565584576818,0.12131995932374366,210.0,0.0952417330551919,0.1753794576241023,2.022902021731802
temperature,2,2.0,8,budget_absorption,18.634279707557575,50.62325462916864,0.2321492864802795,210.0,0.17746933054816738,0.14657742172977037,2.5308371277669686
temperature,2,2.0,10,uniform,271.6537445399343,378.2753996592505,3.384312350912317,262.5,2.5871785194279457,0.708622125687583,0.8842433363833216
temperature,2,2.0,10,sample,28.713018565884713,34.37744805491693,0.34653239593751917,262.5,0.2734573196750925,0.7601691863725676,2.966647682609987
temperature,2,2.0,10,budget_absorption,142.6204998117276,150.82972406685647,1.7767924378276427,262.5,1.3582904743974058,4.525740811282545,3.4307809973717323
temperature,2,2.0,12,uniform,268.3349617219984,385.75328316252666,3.3429663437009762,315.0,2.5555710640190323,0.6731100914533449,0.7736582124881978
temperature,2,2.0,12,sample,25.168942660136253,29.23945327261259,0.30260587947057754,315.0,0.23970421581082146,1.257469859893208,2.2361455838613002
temperature,2,2.0,12,budget_absorption,156.5145589742828,190.20607334798197,1.949887184258534,315.0,1.4906148473741219,0.29948551926242795,3.3776213809972675
temperature,2,3.0,4,uniform,63.21355594766512,83.3802816393148,0.7875261152798891,70.0,0.6020338661682393,0.8547854846142011,0.9676950593302752
