dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5114727717779144,80.0,4000.0,0.1770008599920502,0.4577464788732394,0.0626893939393939,1.0,0.9841549295774648,25.57363858889572,308,568,0,77,4,traffic/intersection01/radar/EVO_RADAR_3
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.7311616943335764,80.0,4000.0,0.0828362108820576,0.5035211267605634,0.0627853983623214,1.0,0.9841549295774648,36.55808471667882,282,568,1,1077,4,traffic/intersection01/radar/EVO_RADAR_3
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6345224382918271,80.0,4000.0,0.096602733166302,0.5088028169014085,0.063754800562759,1.0,0.9841549295774648,31.72612191459136,279,568,2,2077,4,traffic/intersection01/radar/EVO_RADAR_3
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6602165290884594,80.0,4000.0,0.1209695070061954,0.5211267605633803,0.0628976175851175,1.0,0.9841549295774648,33.01082645442297,272,568,3,3077,4,traffic/intersection01/radar/EVO_RADAR_3
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5695984200469417,80.0,4000.0,0.2946926482435303,0.5070422535211268,0.0629243827160493,1.0,0.9841549295774648,28.479921002347087,280,568,4,4077,4,traffic/intersection01/radar/EVO_RADAR_3
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5395260179564102,80.0,4000.0,0.1433507306941951,0.5123239436619719,0.0632490361871805,1.0,0.9841549295774648,26.97630089782051,277,568,5,5077,4,traffic/intersection01/radar/EVO_RADAR_3
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5200175190190963,80.0,4000.0,0.1770008599920502,0.4577464788732394,0.0626893939393939,1.0,0.9841549295774648,26.000875950954818,308,568,0,77,4,traffic/intersection01/radar/EVO_RADAR_4
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.7331180635549852,80.0,4000.0,0.0828362108820576,0.5035211267605634,0.0627853983623214,1.0,0.9841549295774648,36.65590317774926,282,568,1,1077,4,traffic/intersection01/radar/EVO_RADAR_4
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6394364352724775,80.0,4000.0,0.096602733166302,0.5088028169014085,0.063754800562759,1.0,0.9841549295774648,31.97182176362388,279,568,2,2077,4,traffic/intersection01/radar/EVO_RADAR_4
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6695193532564574,80.0,4000.0,0.1209695070061954,0.5211267605633803,0.0628976175851175,1.0,0.9841549295774648,33.47596766282287,272,568,3,3077,4,traffic/intersection01/radar/EVO_RADAR_4
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5768317868388901,80.0,4000.0,0.2781468497397354,0.5070422535211268,0.0629243827160493,1.0,0.9841549295774648,28.84158934194451,280,568,4,4077,4,traffic/intersection01/radar/EVO_RADAR_4
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5408529361074116,80.0,4000.0,0.0826168854815075,0.5123239436619719,0.0632490361871805,1.0,0.9841549295774648,27.042646805370577,277,568,5,5077,4,traffic/intersection01/radar/EVO_RADAR_4
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.5006999491938239,80.0,4000.0,0.1770008599920502,0.4577464788732394,0.0626893939393939,1.0,0.9947183098591548,25.034997459691198,308,568,0,77,4,traffic/intersection01/lidar/OS1_LIDAR_1
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.7248596222669512,80.0,4000.0,0.0828362108820576,0.5035211267605634,0.0627853983623214,1.0,0.9947183098591548,36.24298111334756,282,568,1,1077,4,traffic/intersection01/lidar/OS1_LIDAR_1
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6163930990955531,80.0,4000.0,0.1041464233774673,0.5088028169014085,0.063754800562759,1.0,0.9947183098591548,30.81965495477765,279,568,2,2077,4,traffic/intersection01/lidar/OS1_LIDAR_1
traffic,speed,static,n_weighted,6,16.0,0.1,0.1,8,50.0,0.6466555794313712,80.0,4000.0,0.1209695070061954,0.5211267605633803,0.0628976175851175,1.0,0.9947183098591548,32.33277897156856,272,568,3,3077,4,traffic/intersection01/lidar/OS1_LIDAR_1
