dataset,sensor,clamp_mode,subscription_level,scope,strategy,P,epsilon,w,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,avg_n_tau_mean,avg_n_tau_std,n_trials
energy,current,static,3,energy/building01/CT13,n_weighted,6,8.0,8,0.0990476923959742,0.0050785172440839,9.904769239597428,0.5078517244083991,0.5876770040095279,0.0589346013903207,0.2963209958875181,0.0086120819539386,0.0940656024161213,0.000575823634269,0.1367122374124708,0.0,6
energy,current,static,3,energy/building01/CT13,p_gated_ba,6,0.1,8,0.3887354004256471,0.0338677715485119,38.87354004256471,3.386777154851198,0.0490816164255722,0.0384176061808595,0.1892667926345819,0.0083918812881937,0.0053861399768061,0.0002748957132069,0.0514615983105479,0.0,12
energy,current,static,3,energy/building01/CT13,p_gated_ba,6,0.25,8,0.3254765982721949,0.0355118722935407,32.54765982721949,3.5511872293540803,0.1185580983511261,0.1718482511439736,0.1856915268052313,0.0081678717075719,0.0106459294916975,0.0002683900164107,0.0514615983105479,0.0,12
energy,current,static,3,energy/building01/CT13,p_gated_ba,6,0.5,8,0.2669140656194963,0.0215957478431474,26.691406561949638,2.1595747843147377,0.0886458621584412,0.0480417281613801,0.1807454336630728,0.0080890475624747,0.0179920589001081,0.0003877691076662,0.0514615983105479,0.0,12
energy,current,static,3,energy/building01/CT13,p_gated_ba,6,1.0,8,0.2108708422866901,0.0249556548412309,21.087084228669017,2.495565484123092,0.1901719538419465,0.1666150744653885,0.170001111481605,0.0090938562008354,0.0278217512784466,0.0011121782110136,0.1367122374124708,0.0,12
energy,current,static,3,energy/building01/CT13,p_gated_ba,6,2.0,8,0.1609649499142861,0.0100123209455275,16.096494991428617,1.0012320945527535,0.1579948596170498,0.0437004297238733,0.1517357637731095,0.008659813705525,0.0441724231405935,0.0003903652919311,0.0514615983105479,0.0,12
energy,current,static,3,energy/building01/CT13,p_gated_ba,6,4.0,8,0.1121288823780228,0.0059479325814676,11.212888237802282,0.5947932581467616,0.228551256163369,0.0985709054429887,0.1202437849653588,0.0034855613759376,0.0656372558170712,0.0008514995960498,0.0514615983105479,0.0,12
energy,current,static,3,energy/building01/CT13,p_gated_ba,6,8.0,8,0.0705991122976054,0.0026239888154227,7.059911229760547,0.2623988815422711,0.2633237223313402,0.1506861856410836,0.0795820829165277,0.0034372712602698,0.0910594978359513,0.0012281716567861,0.0514615983105479,0.0,12
energy,current,static,3,energy/building01/CT13,uniform,1,0.1,8,83.40945114261453,11.596498585138256,8340.945114261453,1159.649858513825,0.8710906512859956,0.1021997066616465,0.2295488349033217,0.0,1.0,0.0,0.2295488349033217,0.0,12
energy,current,static,3,energy/building01/CT13,uniform,1,0.25,8,33.364247035666004,4.640044553929826,3336.424703566601,464.00445539298266,0.8710655859865617,0.1021807630772393,0.2295488349033217,0.0,1.0,0.0,0.2295488349033217,0.0,12
energy,current,static,3,energy/building01/CT13,uniform,1,0.5,8,16.682757664114746,2.321332751707178,1668.275766411475,232.13327517071795,0.868539719221635,0.1034714417985179,0.2295488349033217,0.0,1.0,0.0,0.2295488349033217,0.0,12
