dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.192763420596923,0.6352263327736104,31.761316638680523,0.376118729167585,0.5209223124808084,0.0700966028118913,7.871210216000223,7.86330011445161,9.63817102984615,17162,35823,2,2077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1954075771710071,0.6352263327736104,31.761316638680523,0.3642538930035526,0.5213689529073501,0.0699400225428227,7.871210216000223,7.86330011445161,9.770378858550355,17146,35823,3,3077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1945162705464313,0.6352263327736104,31.761316638680523,0.5712263089718445,0.5244396058398236,0.070198354368259,7.871210216000223,7.86330011445161,9.725813527321568,17036,35823,4,4077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,10,50.0,0.1951483747940166,0.6352263327736104,31.761316638680523,0.2087836141925076,0.5206431622142199,0.0701429711603428,7.871210216000223,7.86330011445161,9.757418739700832,17172,35823,5,5077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.2097008414186559,0.7622715993283325,38.11357996641662,0.2554830845240852,0.5134690003628953,0.0689542193245846,7.871210216000223,7.86330011445161,10.485042070932796,17429,35823,0,77,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.20745021831365,0.7622715993283325,38.11357996641662,0.2680675647035767,0.5217597632805739,0.0688947449895232,7.871210216000223,7.86330011445161,10.372510915682504,17132,35823,1,1077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.2063736672731441,0.7622715993283325,38.11357996641662,0.3351863577836048,0.516707143455322,0.0689301286383944,7.871210216000223,7.86330011445161,10.31868336365721,17313,35823,2,2077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.2088004014731216,0.7622715993283325,38.11357996641662,0.5366087539472769,0.5176004243084052,0.0687494419912713,7.871210216000223,7.86330011445161,10.44002007365608,17281,35823,3,3077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.210288197231071,0.7622715993283325,38.11357996641662,0.3557637409194241,0.5218714233872094,0.0691307305662748,7.871210216000223,7.86330011445161,10.51440986155355,17128,35823,4,4077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,12,50.0,0.2078676027263933,0.7622715993283325,38.11357996641662,0.4260594002532665,0.5157301175222623,0.0687335093113171,7.871210216000223,7.86330011445161,10.393380136319667,17348,35823,5,5077,2,energy/building01
energy,power_kw,static,n_weighted,6,16.0,0.1,2.0,16,50.0,0.2323954825670384,1.0163621324377767,50.81810662188884,0.456767916789049,0.5086955308042319,0.0674957334275229,7.871210216000223,7.86330011445161,11.619774128351924,17600,35823,0,77,2,energy/building01
