stream_id,dataset,sensor,clamp_mode,subscription_level,scope,n_pubs,payload_bound,P_min,P_max,epsilon,w,P,strategy,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,avg_n_tau,eps_count_spent
energy|power_kw|3|energy/building01/CT7,energy,power_kw,static,3,energy/building01/CT7,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,7.991710144891004,399.58550724455023,0.913665834808464,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT7,energy,power_kw,static,3,energy/building01/CT7,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.984846804178686,399.2423402089343,0.9945384415650522,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT8,energy,power_kw,static,3,energy/building01/CT8,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,8.056417236443897,402.8208618221949,0.7269078279402509,0.9869713427316849,1.0,0.9869713427316849,0.0
energy|power_kw|3|energy/building01/CT8,energy,power_kw,static,3,energy/building01/CT8,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,8.075149798145596,403.75748990727976,0.8591460327013738,0.9869713427316849,1.0,0.9869713427316849,0.0
energy|power_kw|3|energy/building01/CT8,energy,power_kw,static,3,energy/building01/CT8,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.06933645618512,403.466822809256,0.9378755092891136,0.9869713427316849,1.0,0.9869713427316849,0.0
energy|power_kw|3|energy/building01/CT8,energy,power_kw,static,3,energy/building01/CT8,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,8.03066256271762,401.533128135881,0.9827961758886888,0.9869713427316849,1.0,0.9869713427316849,0.0
energy|power_kw|3|energy/building01/CT8,energy,power_kw,static,3,energy/building01/CT8,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,7.912671706411296,395.6335853205648,0.914078923449022,0.9869713427316849,1.0,0.9869713427316849,0.0
energy|power_kw|3|energy/building01/CT8,energy,power_kw,static,3,energy/building01/CT8,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,8.0099371484402,400.49685742201,0.994152741619463,0.9869713427316849,1.0,0.9869713427316849,0.0
energy|power_kw|3|energy/building01/CT9,energy,power_kw,static,3,energy/building01/CT9,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.809055352564501,390.45276762822505,0.8667191273842174,0.0640373197625106,1.0,0.0640373197625106,0.0
energy|power_kw|3|energy/building01/CT9,energy,power_kw,static,3,energy/building01/CT9,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,5.418864906855103,270.9432453427552,1.1311148558274775,0.0640373197625106,1.0,0.0640373197625106,0.0
