dataset,ref_sensor,clamp_mode,subscription_level,scope,range_compatible_fraction,topic_hierarchy_depth_h,n_sensor_types,avg_n_tau,trial,seed,normalized_mae,kl_divergence,release_rate,eps_count_spent,dp_count_releases,epsilon,w,P,P_max,rho_split
manufacturing,quality,static,5,factory/line1/robotics/machine7/quality,0.6,5,5,1.0,3,3077,0.9137484872470972,2.6821432904516413,0.488,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/robotics/machine7/quality,0.6,5,5,1.0,4,4077,0.8814061596475116,2.431366027908154,0.466,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/robotics/machine7/quality,0.6,5,5,1.0,5,5077,0.8376977481948973,3.1093667151133686,0.485,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/sorting/machine8/quality,0.6,5,5,1.0,0,77,0.8726664362913666,2.365453344744469,0.465,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/sorting/machine8/quality,0.6,5,5,1.0,1,1077,0.8796420083800346,3.2280460867958403,0.488,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/sorting/machine8/quality,0.6,5,5,1.0,2,2077,0.8879736844706807,3.1489504169374265,0.469,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/sorting/machine8/quality,0.6,5,5,1.0,3,3077,0.915489721626598,2.6240253941227745,0.488,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/sorting/machine8/quality,0.6,5,5,1.0,4,4077,0.88324824056496,2.429957249596628,0.466,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/sorting/machine8/quality,0.6,5,5,1.0,5,5077,0.8398332938425714,3.1093667151133686,0.485,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/processing/machine9/quality,0.6,5,5,1.0,0,77,0.87215586367209,2.2820564310159184,0.465,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/processing/machine9/quality,0.6,5,5,1.0,1,1077,0.8788481833775522,3.281117780868101,0.488,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/processing/machine9/quality,0.6,5,5,1.0,2,2077,0.8874091520326776,3.051455655940604,0.469,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/processing/machine9/quality,0.6,5,5,1.0,3,3077,0.9145217703482328,2.6821432904516413,0.488,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/processing/machine9/quality,0.6,5,5,1.0,4,4077,0.8825145550237803,2.4082906870565988,0.466,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,quality,static,5,factory/line1/processing/machine9/quality,0.6,5,5,1.0,5,5077,0.8391542358547868,3.1093667151133686,0.485,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,1,factory,0.2,5,5,10.0,0,77,0.2661501572335501,0.1933414792933861,0.513,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,1,factory,0.2,5,5,10.0,1,1077,0.3152301372501724,0.2544708790841986,0.535,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,1,factory,0.2,5,5,10.0,2,2077,0.2855978289942605,0.1920691817220843,0.536,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,1,factory,0.2,5,5,10.0,3,3077,0.2598801213140366,0.3232755012492174,0.532,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,1,factory,0.2,5,5,10.0,4,4077,0.2709468128731639,0.1928218608615886,0.512,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,1,factory,0.2,5,5,10.0,5,5077,0.227178974307181,0.256787942861047,0.52,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,2,factory/line1,0.2,5,5,10.0,0,77,0.2661501572335501,0.1933414792933861,0.513,12.499999999999824,1000,1.0,8,6,,0.1
manufacturing,vibration,static,2,factory/line1,0.2,5,5,10.0,1,1077,0.3152301372501724,0.2544708790841986,0.535,12.499999999999824,1000,1.0,8,6,,0.1
