dataset,sensor,clamp_mode,scope,module,module_idx,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,avg_n_tau_mean,avg_n_tau_std,n_trials
pune,pm10,static,leaf,M3_walk_up,3,0.256616227654968,0.007425673763269,256.616227654968,7.4256737632690255,0.2096726903056446,0.0517309174980357,0.5150115473441108,0.0061834922565775,7.966512702078522,0.0,6
pune,pm10,static,pooled,M1_pgate,1,0.2571427112296566,0.0092715998831185,257.1427112296566,9.27159988311859,0.2094482103024596,0.0620179903480355,0.5142670034615024,0.0072835353136424,7.840303115352231,0.0,6
pune,pm10,static,pooled,M2_interval_ext,2,0.256616227654968,0.007425673763269,256.616227654968,7.4256737632690255,0.2096726903056446,0.0517309174980357,0.5150115473441108,0.0061834922565775,7.966512702078522,0.0,6
pune,pm10,static,pooled,M3_walk_up,3,0.256616227654968,0.007425673763269,256.616227654968,7.4256737632690255,0.2096726903056446,0.0517309174980357,0.5150115473441108,0.0061834922565775,7.966512702078522,0.0,6
traffic,speed,static,leaf,M1_pgate,1,0.3673294649408707,0.0352592058936263,18.36647324704354,1.7629602946813183,0.3970802885875465,0.2662726503366102,0.477406103286385,0.0229931644477332,0.9947183098591548,0.0,6
traffic,speed,static,leaf,M2_interval_ext,2,0.3673294649408707,0.0352592058936263,18.36647324704354,1.7629602946813183,0.3970802885875465,0.2662726503366102,0.477406103286385,0.0229931644477332,0.9947183098591548,0.0,6
traffic,speed,static,leaf,M3_walk_up,3,0.3804499335957276,0.0326882397173836,19.02249667978638,1.634411985869182,0.4611414374745881,0.2953872443717349,0.5070422535211268,0.0228195095014361,5.926056338028169,0.0,6
traffic,speed,static,pooled,M1_pgate,1,0.3804499335957276,0.0326882397173836,19.02249667978638,1.634411985869182,0.4611414374745881,0.2953872443717349,0.5070422535211268,0.0228195095014361,5.926056338028169,0.0,6
traffic,speed,static,pooled,M2_interval_ext,2,0.3804499335957276,0.0326882397173836,19.02249667978638,1.634411985869182,0.4611414374745881,0.2953872443717349,0.5070422535211268,0.0228195095014361,5.926056338028169,0.0,6
traffic,speed,static,pooled,M3_walk_up,3,0.3804499335957276,0.0326882397173836,19.02249667978638,1.634411985869182,0.4611414374745881,0.2953872443717349,0.5070422535211268,0.0228195095014361,5.926056338028169,0.0,6
wearable,heart_rate,static,leaf,M1_pgate,1,0.5834517258536578,0.0897607110676482,110.85582791219495,17.05453510285317,1.4177319385651053,0.747127177343651,0.4691876750700279,0.0426561994316388,1.0,0.0,6
wearable,heart_rate,static,leaf,M2_interval_ext,2,0.638222943024309,0.3774816650918389,121.26235917461872,71.7215163674494,2.278992617959895,1.127543460301593,0.4861111111111111,0.1254621087848468,1.0,0.0,6
wearable,heart_rate,static,leaf,M3_walk_up,3,0.5427972823328281,0.0299809894538295,103.13148364323736,5.696387996227609,1.3976981478132715,0.7000928854804437,0.5339805825242718,0.0552631047408066,9.50485436893204,0.0,6
wearable,heart_rate,static,pooled,M1_pgate,1,0.5523730470017653,0.0348473851021004,104.95087893033542,6.621003169399071,1.0340504322605184,0.6333337047686235,0.515406162464986,0.0355201512249801,8.403361344537815,0.0,6
wearable,heart_rate,static,pooled,M2_interval_ext,2,0.5427972823328281,0.0299809894538295,103.13148364323736,5.696387996227609,1.3976981478132715,0.7000928854804437,0.5339805825242718,0.0552631047408066,9.50485436893204,0.0,6
wearable,heart_rate,static,pooled,M3_walk_up,3,0.5427972823328281,0.0299809894538295,103.13148364323736,5.696387996227609,1.3976981478132715,0.7000928854804437,0.5339805825242718,0.0552631047408066,9.50485436893204,0.0,6
