dataset,sensor,clamp_mode,scope,module,module_idx,epsilon,w,P,P_max,k_ext,rho_split,strategy,payload_bound,trial,seed,normalized_mae,mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
manufacturing,temperature,static,pooled,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,0,77,0.4181128378804788,83.62256757609578,1.7176660899396758,0.513,10.0,1000
manufacturing,temperature,static,pooled,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,1,1077,0.4708135688500151,94.16271377000302,0.1541333481542649,0.535,10.0,1000
manufacturing,temperature,static,pooled,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,2,2077,0.4610936693775254,92.21873387550508,0.2749530202338915,0.536,10.0,1000
manufacturing,temperature,static,pooled,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,3,3077,0.4245546761076923,84.91093522153847,2.3638094658935094,0.532,10.0,1000
manufacturing,temperature,static,pooled,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,4,4077,0.4398687584676601,87.97375169353204,1.5464912001203075,0.512,10.0,1000
manufacturing,temperature,static,pooled,M2_interval_ext,2,1.0,8,6,,0,0.1,p_gated_uniform,200.0,5,5077,0.3899083753993107,77.98167507986214,0.1913013442521415,0.52,10.0,1000
manufacturing,temperature,static,pooled,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,0,77,0.4181128378804788,83.62256757609578,1.7176660899396758,0.513,10.0,1000
manufacturing,temperature,static,pooled,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,1,1077,0.4708135688500151,94.16271377000302,0.1541333481542649,0.535,10.0,1000
manufacturing,temperature,static,pooled,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,2,2077,0.4610936693775254,92.21873387550508,0.2749530202338915,0.536,10.0,1000
manufacturing,temperature,static,pooled,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,3,3077,0.4245546761076923,84.91093522153847,2.3638094658935094,0.532,10.0,1000
manufacturing,temperature,static,pooled,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,4,4077,0.4398687584676601,87.97375169353204,1.5464912001203075,0.512,10.0,1000
manufacturing,temperature,static,pooled,M3_walk_up,3,1.0,8,6,,0,0.1,p_gated_uniform,200.0,5,5077,0.3899083753993107,77.98167507986214,0.1913013442521415,0.52,10.0,1000
mobility,traffic_speed,static,leaf,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,120.0,0,77,0.3491643218407936,41.89971862089524,0.1211907805927134,0.4592326139088729,0.3345323741007194,834
mobility,traffic_speed,static,leaf,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,120.0,1,1077,0.3275681865931764,39.30818239118116,0.0769626266446003,0.4820143884892086,0.3345323741007194,834
mobility,traffic_speed,static,leaf,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,120.0,2,2077,0.2932693651275989,35.19232381531187,0.0779225635565906,0.4592326139088729,0.3345323741007194,834
mobility,traffic_speed,static,leaf,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,120.0,3,3077,0.3892250924498307,46.70701109397969,0.1079070946458323,0.4856115107913669,0.3345323741007194,834
mobility,traffic_speed,static,leaf,M1_pgate,1,1.0,8,6,,0,0.1,p_gated_uniform,120.0,4,4077,0.3103162479044731,37.23794974853678,0.2337100939442235,0.473621103117506,0.3345323741007194,834
