dataset,ref_sensor,clamp_mode,subscription_level,scope,range_compatible_fraction,topic_hierarchy_depth_h,normalized_mae_mean,normalized_mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,avg_n_tau_mean,avg_n_tau_std,n_trials
manufacturing,quality,static,4,factory/line1/sorting/machine8,0.6,5,7.924586489591834,0.1210969070783593,0.8227928356398388,0.0765068808778759,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,4,factory/line1/warehouse/machine2,0.6,5,7.924654481549915,0.1211861484894383,0.8273313461773534,0.0760193400835702,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,4,factory/line1/warehouse/machine6,0.6,5,7.924545106035095,0.121424428322174,0.8955420723109039,0.1904956868754793,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,5,factory/line1/processing/machine1/quality,0.6,5,7.924747056718043,0.1220790010680028,0.8615200036514633,0.1165845469402165,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,5,factory/line1/processing/machine5/quality,0.6,5,7.92478888259884,0.1214471421449662,0.8956205834809432,0.1863731481700237,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,5,factory/line1/processing/machine9/quality,0.6,5,7.924220285457147,0.1211043070630374,0.8567682133814541,0.1088500562114451,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,5,factory/line1/robotics/machine3/quality,0.6,5,7.924954820970302,0.1216492105323178,0.8940620660418005,0.189826779373628,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,5,factory/line1/robotics/machine7/quality,0.6,5,7.924538104255556,0.1217907904620367,0.8946867106771302,0.1847011232747826,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,5,factory/line1/sorting/machine0/quality,0.6,5,7.924513529821577,0.1218083020909486,0.88423348371615,0.1761333859677685,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,5,factory/line1/sorting/machine4/quality,0.6,5,7.924694358756316,0.1213367977136558,0.8178999192470768,0.0777841764069472,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,5,factory/line1/sorting/machine8/quality,0.6,5,7.924586489591834,0.1210969070783593,0.8227928356398388,0.0765068808778759,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,5,factory/line1/warehouse/machine2/quality,0.6,5,7.924654481549915,0.1211861484894383,0.8273313461773534,0.0760193400835702,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,quality,static,5,factory/line1/warehouse/machine6/quality,0.6,5,7.924545106035095,0.121424428322174,0.8955420723109039,0.1904956868754793,0.6095,0.014815532390029,1.0,0.0,6
manufacturing,temperature,static,1,factory,0.8,5,0.7924308744261322,0.0295138331888998,0.7846821093322464,0.1650795379702041,0.996,0.001414213562373,10.0,0.0,6
manufacturing,temperature,static,2,factory/line1,0.8,5,0.7924308744261322,0.0295138331888998,0.7846821093322464,0.1650795379702041,0.996,0.001414213562373,10.0,0.0,6
manufacturing,temperature,static,3,factory/line1/processing,0.8,5,2.674975698995136,0.0573919006767869,0.8564973810793831,0.1635444859385456,0.8635,0.0089610267268879,3.0,0.0,6
manufacturing,temperature,static,3,factory/line1/robotics,0.8,5,3.9658268097680978,0.1080702287030246,0.8662515753727779,0.1546088001710021,0.7668333333333334,0.0165095931708406,2.0,0.0,6
