dataset,sensor,clamp_mode,subscription_level,scope,approach,epsilon,w,P,payload_bound,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,eps_count_spent,compute_ms_per_element,noise_scale,strategy,P_min,P_max
energy,power_kw,static,3,energy/building01/CT3,ldp,1.0,8,6,50.0,0,77,8.049526306600264,402.4763153300132,0.9354774649741794,1.0,1.0,0.0,0.0295355701051424,400.0,,,
energy,power_kw,static,3,energy/building01/CT3,ldp,1.0,8,6,50.0,1,1077,8.015085051497111,400.7542525748556,1.035321928140491,1.0,1.0,0.0,0.0297280709428558,400.0,,,
energy,power_kw,static,3,energy/building01/CT3,ldp,1.0,8,6,50.0,2,2077,8.014882322502393,400.74411612511966,0.8838086978557449,1.0,1.0,0.0,0.0297380990540082,400.0,,,
energy,power_kw,static,3,energy/building01/CT3,ldp,1.0,8,6,50.0,3,3077,8.030049786534683,401.5024893267342,0.7980003594158398,1.0,1.0,0.0,0.0323031311623263,400.0,,,
energy,power_kw,static,3,energy/building01/CT3,ldp,1.0,8,6,50.0,4,4077,7.999459673298673,399.9729836649336,0.821543338778032,1.0,1.0,0.0,0.032241640834948,400.0,,,
energy,power_kw,static,3,energy/building01/CT3,ldp,1.0,8,6,50.0,5,5077,8.112769371235808,405.6384685617904,0.8837185883807861,1.0,1.0,0.0,0.0400416596064798,400.0,,,
energy,power_kw,static,3,energy/building01/CT3,per_type_wevent,1.0,8,6,50.0,0,77,7.904321448371657,395.2160724185828,0.8784012189073833,0.9325227963525836,1.0,0.0,0.1682932399034809,,,,
energy,power_kw,static,3,energy/building01/CT3,per_type_wevent,1.0,8,6,50.0,1,1077,8.012328573997376,400.6164286998688,0.7963050943094515,0.9325227963525836,1.0,0.0,0.1668021860839684,,,,
energy,power_kw,static,3,energy/building01/CT3,per_type_wevent,1.0,8,6,50.0,2,2077,8.02494006637593,401.2470033187965,0.92462707325337,0.9325227963525836,1.0,0.0,0.1659816280360375,,,,
energy,power_kw,static,3,energy/building01/CT3,per_type_wevent,1.0,8,6,50.0,3,3077,8.03921692855915,401.9608464279575,0.7838638518749056,0.9325227963525836,1.0,0.0,0.1705098787401568,,,,
energy,power_kw,static,3,energy/building01/CT3,per_type_wevent,1.0,8,6,50.0,4,4077,8.039762985716838,401.9881492858418,0.7600844109460863,0.9325227963525836,1.0,0.0,0.1668338182395773,,,,
energy,power_kw,static,3,energy/building01/CT3,per_type_wevent,1.0,8,6,50.0,5,5077,7.963518854967586,398.1759427483793,0.7537710547473967,0.9325227963525836,1.0,0.0,0.2136643041986302,,,,
energy,power_kw,static,3,energy/building01/CT3,ours,1.0,8,6,50.0,0,77,0.8704494250215471,43.52247125107736,0.3962687807298044,0.3942070445199356,0.064906505176097,1398.249999999276,0.1671353194029359,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT3,ours,1.0,8,6,50.0,1,1077,0.8490332435133265,42.45166217566633,0.4206132016246134,0.4035758984444841,0.0640382153262495,1398.249999999276,0.1678324750283739,,p_gated_uniform,6.0,
energy,power_kw,static,3,energy/building01/CT3,ours,1.0,8,6,50.0,2,2077,0.8278439908571229,41.39219954285615,0.8117198020266096,0.3943858394421598,0.0633745025187886,1398.249999999276,0.1682913995381386,,p_gated_uniform,6.0,
