dataset,sensor,clamp_mode,subscription_level,scope,approach,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,kl_divergence_mean,kl_divergence_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,eps_count_spent_mean,eps_count_spent_std,compute_ms_per_element_mean,compute_ms_per_element_std,eps_count_spent_mean.1,eps_count_spent_std.1,n_trials
energy,current,static,4,energy/building01/CT3/current,ldp,8.043299028518224,0.058270472106811,804.3299028518223,5.8270472106811,0.8903941351673209,0.0820421250911367,1.0,0.0,1.0,0.0,0.0,0.0,0.0276005671019583,0.0004919121608115,0.0,0.0,6
energy,current,static,4,energy/building01/CT3/current,ours,0.2558812986768931,0.0059875655859239,25.588129867689304,0.598756558592398,0.1873697004253585,0.0454945217155704,0.4696765498652291,0.0026034305749327,0.0289976532431416,0.0001977509517574,296.799999999867,0.0,0.1766412495815878,0.0016732082599238,296.799999999867,0.0,6
energy,current,static,4,energy/building01/CT3/current,per_type_wevent,7.919785214407017,0.1030220201507706,791.9785214407017,10.302202015077077,0.8256386545449534,0.1067710013974169,0.8330525606469003,0.0,1.0,0.0,0.0,0.0,0.1737332298264364,0.0012564781885283,0.0,0.0,6
energy,current,static,4,energy/building01/CT4/current,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,4,energy/building01/CT4/current,ldp,7.952614551832159,0.1017855546686642,795.2614551832158,10.178555466866383,0.8899697838844453,0.161542985355594,1.0,0.0,1.0,0.0,0.0,0.0,0.0120522093803997,0.0001331948814532,0.0,0.0,6
energy,current,static,4,energy/building01/CT4/current,ours,0.2556155529364138,0.0054633351827969,25.56155529364138,0.5463335182796896,0.2257039712446441,0.1305130865566687,0.4680631196760229,0.0046220358543233,0.0289930891382776,0.0003162424816173,149.18750000000125,0.0,0.1764161145761182,0.0020328627643416,149.18750000000125,0.0,6
energy,current,static,4,energy/building01/CT4/current,per_type_wevent,7.964691498158331,0.2315960528476337,796.4691498158331,23.15960528476337,0.8627462588974817,0.1222113339618981,0.345370758273984,0.0,1.0,0.0,0.0,0.0,0.1686221803002025,0.0014590878668662,0.0,0.0,6
energy,current,static,4,energy/building01/CT5/current,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,4,energy/building01/CT5/current,ldp,7.88206999337605,0.2042343541483307,788.206999337605,20.423435414833083,0.871361114446881,0.098253823294491,1.0,0.0,1.0,0.0,0.0,0.0,0.0050358756895143,1.6207403199305024e-05,0.0,0.0,6
energy,current,static,4,energy/building01/CT5/current,ours,0.2534296285950714,0.0080427092417481,25.34296285950715,0.8042709241748133,0.2146020936211422,0.0847106035375272,0.4679675125534998,0.0046267473864281,0.0289010569332101,0.0004499251124202,123.63750000001954,0.0,0.1782602330699766,0.0051093736510911,123.63750000001954,0.0,6
energy,current,static,4,energy/building01/CT5/current,per_type_wevent,8.247176381653578,0.8143069881167198,824.7176381653577,81.43069881167196,0.9029644058709037,0.069574370644675,0.1289050652107977,0.0,1.0,0.0,0.0,0.0,0.1675310054126934,0.0019411780165105,0.0,0.0,6
energy,current,static,4,energy/building01/CT6/current,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,4,energy/building01/CT6/current,ldp,8.040813710439712,0.0304890447363899,804.0813710439712,3.0489044736389768,0.8660817986608338,0.0491910896160072,1.0,0.0,1.0,0.0,0.0,0.0,0.0332458150436372,0.0009588512002747,0.0,0.0,6
energy,current,static,4,energy/building01/CT6/current,ours,0.2573456914278378,0.0038960616100942,25.734569142783787,0.3896061610094227,0.2189925306978056,0.0852457949951238,0.4711532200299537,0.0031459968352322,0.028981490533844,0.0002434418074351,447.9124999997296,0.0,0.1757140039215087,0.0013908644739893,447.9124999997296,0.0,6
energy,current,static,4,energy/building01/CT6/current,per_type_wevent,7.982253480424603,0.0498986345259467,798.2253480424603,4.989863452594676,0.9027102792857076,0.0995088223958817,0.9987162671280664,0.0,1.0,0.0,0.0,0.0,0.1751892975386482,0.0010484167529843,0.0,0.0,6
energy,current,static,4,energy/building01/CT7/current,classic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6
energy,current,static,4,energy/building01/CT7/current,ldp,8.040813710439712,0.0304890447363899,804.0813710439712,3.0489044736389768,0.8658572152544951,0.0491137082486461,1.0,0.0,1.0,0.0,0.0,0.0,0.0331395289745726,0.0006068382345892,0.0,0.0,6
energy,current,static,4,energy/building01/CT7/current,ours,0.2564133843031493,0.0039056347195677,25.641338430314946,0.3905634719567713,0.291160282016679,0.1845259805369277,0.4711532200299537,0.0031459968352322,0.028981490533844,0.0002434418074351,447.9124999997296,0.0,0.1765511286137917,0.0014384573032731,447.9124999997296,0.0,6
