strategy,greedy_P,greedy_loss,greedy_nmae,greedy_kl,greedy_release_rate,greedy_evaluations,greedy_seed_P,greedy_n_restarts,greedy_restart_seeds_P,brute_P,brute_loss,brute_nmae,brute_kl,brute_release_rate,brute_evaluations,gap_loss,gap_P,speedup,dataset,sensor,clamp_mode
p_gated_sample,6,0.3026095346262937,0.1188067177248853,0.2244749497613322,0.0809859154929577,6,4,2,4;6,6,0.3026095346262937,0.1188067177248853,0.2244749497613322,0.0809859154929577,6,0.0,0,1.0,traffic,speed,static
p_gated_ba,6,0.7640356253705047,0.6105144986099413,0.1491552405068,0.2323943661971831,5,4,2,4;6,6,0.7640356253705047,0.6105144986099413,0.1491552405068,0.2323943661971831,6,0.0,0,1.2,traffic,speed,static
n_weighted,6,0.7194128738098402,0.6116663949366007,0.3051787694732861,0.4612676056338028,6,4,2,4;6,6,0.7194128738098402,0.6116663949366007,0.3051787694732861,0.4612676056338028,6,0.0,0,1.0,traffic,speed,static
uniform,10,1.30237992386745,1.30237992386745,0.2536313029874666,1.0,5,4,2,4;10,10,1.30237992386745,1.30237992386745,0.2536313029874666,1.0,10,0.0,0,2.0,wearable,heart_rate,static
sample,10,0.3932591267608593,0.2268725721390105,0.0693771162566592,0.1680672268907563,5,4,2,4;10,10,0.3932591267608593,0.2268725721390105,0.0693771162566592,0.1680672268907563,10,0.0,0,2.0,wearable,heart_rate,static
budget_distribution,10,3.4980695440921035,3.4308426533358007,0.0576067565006206,0.6638655462184874,5,4,2,4;10,10,3.4980695440921035,3.4308426533358007,0.0576067565006206,0.6638655462184874,10,0.0,0,2.0,wearable,heart_rate,static
budget_absorption,10,3.135811920813491,3.0484169628302977,0.2925629184239441,0.5630252100840336,5,4,2,4;10,10,3.135811920813491,3.0484169628302977,0.2925629184239441,0.5630252100840336,10,0.0,0,2.0,wearable,heart_rate,static
p_gated_uniform,10,0.4514490503381911,0.3338019915146617,0.5906231230628461,0.4117647058823529,5,4,2,4;10,10,0.4514490503381911,0.3338019915146617,0.5906231230628461,0.4117647058823529,10,0.0,0,2.0,wearable,heart_rate,static
p_gated_sample,10,0.2743732176914729,0.0861379235738258,0.0845720436697073,0.0588235294117647,5,4,2,4;10,10,0.2743732176914729,0.0861379235738258,0.0845720436697073,0.0588235294117647,10,0.0,0,2.0,wearable,heart_rate,static
p_gated_ba,9,0.5027161050443271,0.3396908949602935,0.5868442668640617,0.1848739495798319,6,4,2,4;10,9,0.5027161050443271,0.3396908949602935,0.5868442668640617,0.1848739495798319,10,0.0,0,1.6666666666666667,wearable,heart_rate,static
n_weighted,10,0.4927749106941469,0.3751278518706175,1.079010105315497,0.4117647058823529,10,4,2,4;10,10,0.4927749106941469,0.3751278518706175,1.079010105315497,0.4117647058823529,10,0.0,0,1.0,wearable,heart_rate,static
