P,strategy,normalized_mae,kl_divergence,release_rate,attribution_advantage,tuning_loss,avg_n_tau,pr_n_ge_P,deferrals,evaluated,iter,action,restart_idx
4,p_gated_sample,0.2969821471233354,2.7706419043639654,0.07074340527577938,0.06046555625626322,0.48283346606817956,5.08273381294964,0.9676258992805755,775,True,1,r1_probe_P=4,1
6,p_gated_sample,0.28720600014041436,2.6691063242649684,0.0671462829736211,0.051204782484277324,0.47377674354569016,5.08273381294964,0.33213429256594723,778,True,1,r1_probe_P=6,1
5,p_gated_sample,0.2852911587815602,2.612076648269064,0.0683453237410072,0.05381522489683386,0.47162209403335875,5.08273381294964,0.7841726618705036,777,True,1,r1_stop_local_optimum,1
4,p_gated_ba,0.6541532048949485,0.8714420073868622,0.2841726618705036,0.059280930657680295,0.7973186725208479,5.08273381294964,0.9676258992805755,597,True,0,seed,0
3,p_gated_ba,0.7083335041591209,0.04947372821683865,0.2961630695443645,0.062402131247899756,0.849100890250248,5.08273381294964,0.9988009592326139,587,True,1,probe_P=3,0
5,p_gated_ba,0.5651511660814443,0.7797687126841426,0.2541966426858513,0.04920098597475884,0.7143118375442741,5.08273381294964,0.7841726618705036,622,True,1,probe_P=5,0
5,p_gated_ba,0.5651511660814443,0.7797687126841426,0.2541966426858513,0.04920098597475884,0.7143118375442741,5.08273381294964,0.7841726618705036,622,True,1,step_to_P=5,0
6,p_gated_ba,0.5398880403301427,1.1139290311294485,0.24100719424460432,0.04915083340575488,0.6916866014812219,5.08273381294964,0.33213429256594723,633,True,2,probe_P=6,0
6,p_gated_ba,0.5398880403301427,1.1139290311294485,0.24100719424460432,0.04915083340575488,0.6916866014812219,5.08273381294964,0.33213429256594723,633,True,2,step_to_P=6,0
6,p_gated_ba,0.5398880403301427,1.1139290311294485,0.24100719424460432,0.04915083340575488,0.6916866014812219,5.08273381294964,0.33213429256594723,633,True,3,stop_local_optimum,0
5,p_gated_ba,0.5651511660814443,0.7797687126841426,0.2541966426858513,0.04920098597475884,0.7143118375442741,5.08273381294964,0.7841726618705036,622,True,0,r1_seed,1
4,p_gated_ba,0.6541532048949485,0.8714420073868622,0.2841726618705036,0.059280930657680295,0.7973186725208479,5.08273381294964,0.9676258992805755,597,True,1,r1_probe_P=4,1
6,p_gated_ba,0.5398880403301427,1.1139290311294485,0.24100719424460432,0.04915083340575488,0.6916866014812219,5.08273381294964,0.33213429256594723,633,True,1,r1_probe_P=6,1
6,p_gated_ba,0.5398880403301427,1.1139290311294485,0.24100719424460432,0.04915083340575488,0.6916866014812219,5.08273381294964,0.33213429256594723,633,True,1,r1_step_to_P=6,1
6,p_gated_ba,0.5398880403301427,1.1139290311294485,0.24100719424460432,0.04915083340575488,0.6916866014812219,5.08273381294964,0.33213429256594723,633,True,2,r1_stop_local_optimum,1
4,n_weighted,0.5754356010211545,0.19328889180766495,0.5071942446043165,0.06394015786470408,0.6739967521002912,5.08273381294964,0.9676258992805755,411,True,0,seed,0
3,n_weighted,0.6781752206394499,0.24142850723700235,0.5287769784172662,0.07418147598478665,0.7724198249559967,5.08273381294964,0.9988009592326139,393,True,1,probe_P=3,0
5,n_weighted,0.526795083687355,0.9176040346846617,0.4880095923261391,0.05663827670289904,0.6291931652221271,5.08273381294964,0.7841726618705036,427,True,1,probe_P=5,0
5,n_weighted,0.526795083687355,0.9176040346846617,0.4880095923261391,0.05663827670289904,0.6291931652221271,5.08273381294964,0.7841726618705036,427,True,1,step_to_P=5,0
6,n_weighted,0.5301700158721258,0.3307457100385312,0.48201438848920863,0.05449644390729632,0.633767138174284,5.08273381294964,0.33213429256594723,432,True,2,probe_P=6,0
5,n_weighted,0.526795083687355,0.9176040346846617,0.4880095923261391,0.05663827670289904,0.6291931652221271,5.08273381294964,0.7841726618705036,427,True,2,stop_local_optimum,0
5,n_weighted,0.526795083687355,0.9176040346846617,0.4880095923261391,0.05663827670289904,0.6291931652221271,5.08273381294964,0.7841726618705036,427,True,0,r1_seed,1
4,n_weighted,0.5754356010211545,0.19328889180766495,0.5071942446043165,0.06394015786470408,0.6739967521002912,5.08273381294964,0.9676258992805755,411,True,1,r1_probe_P=4,1
6,n_weighted,0.5301700158721258,0.3307457100385312,0.48201438848920863,0.05449644390729632,0.633767138174284,5.08273381294964,0.33213429256594723,432,True,1,r1_probe_P=6,1
5,n_weighted,0.526795083687355,0.9176040346846617,0.4880095923261391,0.05663827670289904,0.6291931652221271,5.08273381294964,0.7841726618705036,427,True,1,r1_stop_local_optimum,1
